name,kingdom,phylum,class,order,family,genus,species,nutritional components
Angelica dahurica,Plantae,Tracheophyta,,Apiales,Apiaceae,Angelica,Angelica dahurica,"Protein, vitamins, minerals, dietary fiber, polyphenols, flavonoids, etc."
Zelkova,Plantae,Angiosperms,Magnoliopsida,Rosales,Ulmaceae,Zelkova,Zelkova,"The fruit contains 20%-40% oil, including fatty acids such as capric acid, caprylic acid, lauric acid, oleic acid, palmitic acid, and linoleic acid."
White wax tree,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,White wax tree,"Rich in bioactive components such as lignin, triterpenoids, and polysaccharides. These components have special effects on human health, such as enhancing immunity, delaying cell aging, antioxidant, and anti-tumor properties."
Cleome,Plantae,Angiosperms,Magnoliopsida,Brassicales,Cleomaceae,Cleome,Cleome gynandra,"Per 100 grams of Cleome gynandra, it contains 12 mg of Vitamin C, 26 mg of Calcium, 6 mg of Phosphorus, 152 mg of Potassium, 215.7 mg of Sodium, 33 mg of Magnesium, 0.6 mg of Iron, 0.18 mg of Zinc, etc. Additionally, it contains a certain amount of water, protein, fat, and carbohydrates."
Syringa vulgaris,Plantae,Angiosperms,Magnoliopsida,Lamiales,Oleaceae,Syringa,Syringa vulgaris,"Its fresh flowers can be used to extract an oleoresin with solvents, from which essential oil can be obtained. This essential oil is a good flavoring agent for the food, cosmetics, and pharmaceutical industries. Some scholars have optimized the extraction process of Syringa vulgaris essential oil and found that the oil extracted by the refining method has high purity, few impurities, abundant aromatic substances, strong fragrance, and excellent quality, with broad application prospects and certain scientific and economic value. Additionally, the young leaves of Syringa vulgaris can be used as a tea substitute."
Ulmus pumila,Plantae,Spermatophyta,Magnoliopsida,Urticales,Ulmaceae,Ulmus,Ulmus pumila,"The plant contains beta-sitosterol, phytol, stigmasterol, and other sterols, as well as tannins, gum, and fatty oils. It is propagated by seed, and mature fruits are sown immediately after collection."
Hazelnut,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Betulaceae,Corylus,Corylus,"Fats: Rich in healthy fats, including monounsaturated fatty acids, polyunsaturated fatty acids, and saturated fatty acids."
Pecan,Plantae,Angiosperms,Magnoliopsida,Fagales,Juglandaceae,Carya,Carya illinoinensis,"Pecans mainly consist of linoleic acid glycerides, which can soften blood vessels, prevent vascular hardening, hypertension, and coronary heart disease. The trace elements zinc and manganese in pecans are also important components of the pituitary gland. Regular consumption of pecans can enhance brain function and intelligence."
Peanut,Plantae,Angiosperms,Magnoliopsida,Fabales,Fabaceae,Arachis,Arachis hypogaea,"Peanuts contain over 50% oleic acid, which is beneficial for cardiovascular health, helps reduce harmful cholesterol and high blood lipids, while maintaining or even increasing beneficial cholesterol."
Camellia oleifera,Plantae,Tracheophyta,Magnoliopsida,,Theaceae,Camellia,Camellia oleifera,"Tea oil made from Camellia oleifera contains over 90% unsaturated fatty acids such as oleic acid, linoleic acid, and linolenic acid, and is rich in nutrients like vitamin A and vitamin E. It has a golden color and a fragrant taste, with excellent properties similar to olive oil, earning it the reputation as the 'Oriental Olive Oil' and is a high-quality edible oil."
Cornus officinalis,Plantae,Angiosperms,Magnoliopsida,Cornales,Cornaceae,Cornus,Cornus walteri,"When comparing various plants, Cornus walteri has relatively low levels of trace elements such as Fe, Zn, Cu, Mn, Cr, and Ni. For example, the Fe content is 201.53 mg/kg, Zn content is 4.73 mg/kg, Cu content is 0 (or undetectably low), Mn content is 8.13 mg/kg, Cr content is 0.36 mg/kg, and Ni content is 1.22 mg/kg. The total trace element content is also low, at 241.83 mg/kg."
Xanthoceras sorbifolium,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Xanthoceras,Xanthoceras sorbifolium,"Minerals: Rich in calcium, phosphorus, iron, and other minerals, which have positive effects on bone health, blood circulation, and nerve conduction."
Prunus pedunculata,Plantae,Angiosperms,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus pedunculata,Protein and Fat: The kernel contains 255.9 g/kg of crude protein and 531 g/kg of crude fat.
Acer truncatum,Plantae,Angiosperms,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer truncatum,"Oil: The kernel has a high oil content, with excellent oil quality, rich in essential fatty acids such as oleic acid and linoleic acid."
Idesia polycarpa,Plantae,Angiosperms,Magnoliopsida,Malpighiales,Salicaceae,Idesia,Idesia polycarpa,Vitamins: Rich in vitamin E and B vitamins.
Plukenetia volubilis,Plantae,Angiosperms,Magnoliopsida,Malpighiales,Euphorbiaceae,Plukenetia,Plukenetia volubilis,"The oil from Plukenetia volubilis seeds is edible. The seeds are extremely rich in unsaturated fatty acids (ω-3, ω-6, ω-9), vitamin E, vitamin A, protein, and polyphenols. The content of the three unsaturated fatty acids is over 92%, earning it the titles of 'World Plant Nutrition Longevity Fruit King' and 'Plant Brain Gold'."
Elaeagnus mollis oil,Plantae,Angiosperms,Magnoliopsida,Rosales,Elaeagnaceae,Elaeagnus,Elaeagnus mollis,"The seeds contain oil, with the kernel containing 46.58-51.4% crude fat, and an oil yield of 30-35%."
Xikang Almond,Plantae,Angiosperms,Magnoliopsida,Rosales,Rosaceae,Prunus,Xikang Almond,"The kernels of Xikang Almond can be pressed for oil, with a kernel oil content of 45.95% and an oil yield of over 40.00%. The oil is orange-yellow, clear, and transparent, suitable for edible use. The shells are an important raw material for producing high-quality activated carbon. The wood is hard and can be used for various carvings. The tree's bast fibers are long and fine, suitable for papermaking and the production of artificial cotton. The fruit pits can also be used for crafts and toys."
Desert Nut,Plantae,Angiosperms,Magnoliopsida,Myrtales,Lecythidaceae,Solanum,Goji Berry,"Desert Nut is rich in nutrients. In addition to protein, fat, and carbohydrates, the kernels contain abundant carotene, vitamin B1, vitamin B2, and vitamin E. The kernels contain all eight essential amino acids required by the human body, with levels far exceeding those in walnuts. The kernels also have higher calcium, phosphorus, and iron content compared to other nuts."
Almond,Plantae,Angiosperms,Magnoliopsida,Rosales,Rosaceae,Prunus,Almond,"Rich in fat, protein, vitamins, and minerals."
Sweet Almond,Plantae,Angiosperms,Magnoliopsida,Rosales,Rosaceae,Syringa,Apricot,"Almonds are rich in protein, fat, carbohydrates, carotene, B vitamins, vitamin C, vitamin P, as well as calcium, phosphorus, and iron. The carotene content in almonds is second only to mangoes among fruits, earning them the title of 'anti-cancer fruit.' Almonds contain abundant fatty oils, which help lower cholesterol, making them beneficial for preventing and treating cardiovascular diseases."
Hairy-leaf Idesia,Plantae,Angiosperms,Magnoliopsida,Parietales,Flacourtiaceae,Idesia,Hairy-leaf Idesia,"The fruit has an oil content of 20%-30%, and the seeds have an oil content of 20%-26%. It can be used for making box boards and matchboxes, as well as for producing soap or lubricating oil. It is an excellent raw material for high-quality edible oil, premium skincare soap, and health products."
Butterfly Fruit,Plantae,Angiosperms,Magnoliopsida,Malpighiales,Euphorbiaceae,Butterfly Fruit Genus,Butterfly Fruit,"The seeds are rich in oil and starch. After detoxification, they can be eaten. The cotyledons can be boiled or stir-fried, or ground into powder and mixed into dishes as oil. They can also be extracted for use as cooking oil, with a flavor resembling a mix of sesame oil and peanut oil."
Sacha Inchi,Plantae,Angiosperms,Magnoliopsida,Malpighiales,Euphorbiaceae,Plukenetia,Sacha Inchi,Omega-3 fatty acids. Sacha Inchi oil is rich in essential fatty acids that are highly compatible with the skin. It contains abundant vitamin E and antioxidants.
Cocoa,Plantae,Angiosperms,Magnoliopsida,Malvales,Malvaceae,Theobroma,Cocoa,"Carbohydrates: Cocoa contains a certain amount of carbohydrates, providing energy for the body."
Coptis,Plantae,Angiosperms,Magnoliopsida,Sapindales,Anacardiaceae,Coptis,Pistacia chinensis,"Pistacia chinensis is an excellent woody oilseed tree species, characterized by high oil yield and good oil quality. Research results have shown that the seed oil content is 42.26% (kernel oil content is 56.5%), seed oil yield is 20-30%, and the shell oil content is 3.28%. It is a non-drying oil with a light yellow-green color and a bitter taste, which can be used after refining. Fresh leaves contain 0.12% aromatic oil, which can be used as a health food additive and incense. The fatty acids mainly include palmitic acid, oleic acid, linoleic acid, palmitoleic acid, stearic acid, arachidonic acid, and linolenic acid. The combined content of oleic acid, linoleic acid, and palmitic acid accounts for about 95% of the total fatty acids."
Moringa,Plantae,Angiosperms,Magnoliopsida,Brassicales,Moringaceae,Moringa,Moringa,"Amino acids: Moringa contains about 20 amino acids, including several essential amino acids for humans. These amino acids are the basic units of protein and are crucial for maintaining human life activities."
Sea buckthorn,Plantae,Angiosperms,Magnoliopsida,Elaeagnales,Elaeagnaceae,Hippophae,Sea buckthorn,"Sea buckthorn fruits are rich in vitamin C, vitamin E, carotene, flavonoids, and various trace elements, which help enhance immunity and resist aging."
Tung tree,Plantae,Angiosperms,Magnoliopsida,Malpighiales,Euphorbiaceae,Vernicia,Tung tree,
Oil Peony,Plantae,Angiosperms,Magnoliopsida,Paeoniales,Paeoniaceae,Paeonia,Oil Peony (usually refers to specific varieties such as Paeonia rockii),
Tallow Tree,Plantae,Angiosperms,Magnoliopsida,Sapindales,Cornaceae,Triadica,Sapium sebiferum,
Qingci Fruit,Plantae,Angiosperms,Magnoliopsida,Rosales,Rosaceae,Prinsepia (some classification systems may differ),Qingci Fruit,
Jatropha,Plantae,Angiosperms,Magnoliopsida,Malpighiales,Euphorbiaceae,Jatropha,Jatropha curcas,
Duchesnea,Plantae,Angiosperms,Magnoliopsida,Rosales,Rosaceae,Duchesnea,,
Sesame,Plantae,Angiosperms,Magnoliopsida,Malvales,Pedaliaceae (also known as Sesame family),Sesamum,Sesamum indicum,"Sesame seeds contain up to 55% oil, rich in unsaturated fatty acids such as oleic acid and linoleic acid, suitable for consumption and oil extraction; the oil is used for food and women's health; it also contains protein, carbohydrates, vitamin E, and various minerals."
Garcinia oblongifolia,Plantae,Angiosperms,Magnoliopsida,Parietales,Clusiaceae,"Garcinia (specific classification may vary for Garcinia oblongifolia, here using Garcinia as an example)",Garcinia oblongifolia,"The fruit is edible, sweet and juicy; the seeds have a high oil content, with the kernel especially rich in oil, up to 70%, suitable for industrial oil use."
Garcinia xanthochymus,Plantae,Angiosperms,Magnoliopsida,Parietales,Clusiaceae,Garcinia,Garcinia xanthochymus,"The ripe fruit is edible with a sour taste; the seeds contain 17.72% oil, suitable for industrial oil use; it may also contain other beneficial components for human health, such as vitamins and minerals."
Pea,Plantae,Angiosperms,Magnoliopsida,Fabales,Fabaceae,Pisum,Pisum sativum,"Pea seeds, young pods, and young shoots are all edible; the seeds are rich in starch, oil, and also contain protein, fiber, and various vitamins. Their medicinal value (not detailed) may involve other bioactive components."
Huatan Pear,Plantae,Angiosperms,Magnoliopsida,"Not specified (may vary by species, such as Rosales)","Not specified (may belong to Rosaceae, Cornaceae, etc., specific classification information required)","Pyrularia (this is the genus name, but not a widely recognized family classification)",Huatan Pear,"The fruit is sweet and edible when ripe, rich in sugar; seeds can be pressed for oil, used for consumption, but the specific oil composition is not detailed."
Swamp Oak,Plantae,Angiosperms,Magnoliopsida,Fagales,Fagaceae,Quercus,Swamp Oak,"Nuts contain 46.1% starch, 10.6% tannin, 12.6% oil, and other nutritional components such as protein are not listed in detail."
Rose,Plantae,Angiosperms,Magnoliopsida,Rosales,Rosaceae,Rosa,"Rose (e.g., Rosa rugosa)","The main value lies in the fresh flowers, which can be distilled into aromatic oil. The oil's main components include linalool, etc. It does not directly provide significant Nutritional components, but the aromatic oil has various uses."
Hardcore (original variety),Plantae,Angiosperms,Magnoliopsida,Not specified (may vary by species),"Not specified (specific classification information required, may belong to Euphorbiaceae or others)",Scleropyrum,Hardcore (original variety) Scleropyrum wallichianum var. wallichianum,
Thlaspi arvense,Plantae,Angiosperms,Magnoliopsida,Brassicales,Brassicaceae,Thlaspi,Thlaspi arvense,
Ginger,Plantae,Angiosperms,Monocotyledon,Zingiberales,Zingiberaceae,Zingiber,Zingiber officinale,
Red Ginger,Plantae,Angiosperms,Monocotyledon,Zingiberales,Zingiberaceae,Zingiber,Zingiber zerumbet,
Manilkara,Plantae,Angiosperms,Magnoliopsida,Sapindales,Anacardiaceae,Manilkara,Manilkara zapota,
Silver Wormwood,Plantae,Angiosperms,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia argyi,
Large-flowered Wormwood,Plantae,Angiosperms,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia macrocephala,"Contains volatile oils and alkaloids, mainly lactone substances. Also contains crude protein and cellulose for livestock feed."
Brassica rapa,Plantae,Angiosperms,Magnoliopsida,Capparales,Brassicaceae,Brassica,Brassica rapa,"Brassica rapa (Tang Materia Medica), commonly known as rapeseed, is mainly used for extracting edible oil."
Oil mustard,Plantae,Angiosperms,Magnoliopsida,Capparales,Brassicaceae,Brassica,Mustard (oil mustard variety),"Seeds can be pressed for oil, used for food; ground into powder, it can be used as a condiment and also for medicinal purposes."
Oil cabbage,Plantae,Angiosperms,Magnoliopsida,Capparales,Brassicaceae,Brassica,Cabbage (oil cabbage variety),"Seeds are pressed for oil, used for food."
Avocado,Plantae,Angiosperms,Magnoliopsida,Sapindales,Lauraceae,Persea,Avocado,"The seed kernel is rich in fat, serving as an important edible oil and industrial oil, and can also be used to make margarine."
Calophyllum,Plantae,Angiosperms,Magnoliopsida,Parietales,Calophyllaceae,Calophyllum,Calophyllum inophyllum,"Seeds contain 20-30% oil, kernels contain 50-60% oil, which can be used for industrial purposes and has various applications after processing."
Canarium bengalense,Plantae,Angiosperms,Magnoliopsida,Sapindales,Burseraceae,Canarium,Canarium bengalense,Fruits are edible. Seed oil can be used to make soap or as a lubricant. The wood has similar uses to olive wood.
Canarium strictum,Plantae,Angiosperms,Magnoliopsida,Sapindales,Burseraceae,Canarium,Canarium strictum,"Fruits can be eaten raw. Seeds can be pressed for oil. The resin is brown, resembling pine resin, and can be processed and utilized through artificial methods."
Pecan,Plantae,Angiosperms,Magnoliopsida,Juglandales,Juglandaceae,Carya,Carya illinoinensis,The kernel (seed) is rich in oil and is edible.
Vietnamese Hickory,Plantae,Angiosperms,Magnoliopsida,Juglandales,Juglandaceae,Carya,Carya tonkinensis,The kernel contains oil and is edible. The type specimen was collected from northern Vietnam.
Nanking Cherry,Plantae,Angiosperms,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus tomentosa,"The fruit is slightly sweet and sour, edible and can be used for winemaking; the kernel has a high oil content, about 43%, and can be used to make soap."
Butterfly Fruit,Plantae,Angiosperms,Magnoliopsida,Sapindales,Hippocastanaceae (or may vary according to the latest classification),Butterfly Fruit Genus,Butterfly Fruit,"Seeds are rich in starch and oil, edible after cooking and removing the embryo; wood is suitable for making furniture, etc."
Winter squash,Plantae,Angiosperms,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucurbita,Cucurbita maxima,"Fruits are used as vegetables, seeds contain oil and have nutritional value."
Cymbopogon flexuosus,Plantae,Angiosperms,Monocotyledon,Poales,Poaceae,Cymbopogon,Cymbopogon flexuosus,"Leaves contain lemon aroma, distilled to produce dark red essential oil, used as raw material for artificial essential oils, soaps, etc."
Lemongrass,Plantae,Angiosperms,Monocotyledon,Poales,Poaceae,Cymbopogon,Cymbopogon citratus,"Stems and leaves extract lemon essential oil, used for making perfumes, soaps, and edible; young stems and leaves are raw materials for making tea, etc."
Spondias dulcis,Plantae,Angiosperms,Magnoliopsida,Sapindales,Anacardiaceae (or may vary according to the latest classification),Spondias,Spondias dulcis,"Seed oil is edible or used for soap making; wood is straight, tightly structured, tough, and an excellent building material."
Rusty-haired Shuttle Fruit,Plantae,Angiosperms,Magnoliopsida,Sapindales,Hippocastanaceae,Spondias,Rusty-haired Shuttle Fruit,"Seed oil is used for food or soap making; the wood is straight, tightly structured, tough, and an excellent timber resource."
Cloud Tree,Plantae,Angiosperms,Magnoliopsida,Parietales,Clusiaceae,Garcinia,Cloud Tree,"The fruit is sweet and sour when ripe and edible; the seeds contain about 9.37% oil, with edible and potential industrial value."
Fragrant Leaf Tree,Plantae,Angiosperms,Magnoliopsida,Laurales,Lauraceae,Lindera,Fragrant Leaf Tree,"The seed kernel contains oil used for soap, lubricants, ink, and medical suppository ingredients; it is also edible and has various economic values."
Fragrant Litsea,Plantae,Angiosperms,Magnoliopsida,Laurales,Lauraceae,Litsea,Fragrant Litsea,"The fruit, leaves, and branches can extract aromatic oil for cosmetics and soap fragrances, and also have medicinal value."
Sichuan Litsea,Plantae,Angiosperms,Magnoliopsida,Laurales,Lauraceae,Litsea,Sichuan Litsea (variant),Both leaves and fruits can extract aromatic oil for food flavorings and cosmetics. The seeds are rich in fat and have potential industrial applications.
Litsea,Plantae,Angiosperms,Magnoliopsida,Laurales,Lauraceae,Litsea,Litsea cubeba,"The fruit contains essential oil. According to Sichuan data, dried fruit contains 2-6% essential oil, and fresh fruit contains 3-4%, with various uses."
Lycopsis arvensis,Plantae,Angiosperms,Magnoliopsida,Lamiales,Boraginaceae,Lycopsis,Lycopsis arvensis,"The seeds are rich in oil, which can be extracted for edible purposes."
Malania oleifera,Plantae,Angiosperms,Magnoliopsida,Sapindales,Olacaceae,Malania,Malania oleifera,"The seeds contain oil, including oleic acid, palmitic acid, and stearic acid, making it a good source of woody oil."
Manilkara zapota,Plantae,Angiosperms,Magnoliopsida,Sapindales,Sapotaceae,"Manilkara (Note: Some sources classify it as Achras, but here it is classified according to the provided Latin name)",Manilkara zapota,"The fruit is edible, sweet, and delicious; the latex from the trunk is used as a raw material for chewing gum; the seed kernel contains 20% oil, with various economic values."
Mucuna birdwoodiana,Plantae,Angiosperms,Magnoliopsida,Fabales,Fabaceae (or Leguminosae),Mucuna,Mucuna birdwoodiana,"Specific Nutritional components is not detailed, but the seeds contain starch and their toxicity should be noted."
Mucuna sempervirens,Plantae,Angiosperms,Magnoliopsida,Fabales,Fabaceae (or Leguminosae),Mucuna,Mucuna sempervirens,"The stem vines may be rich in various active ingredients, beneficial for promoting blood circulation, removing stasis, and relaxing tendons and activating collaterals, but specific Nutritional components requires further analysis."
Oenothera glazioviana,Plantae,Angiosperms,Magnoliopsida,Myrtales,Onagraceae,Oenothera,Oenothera glazioviana,"The seeds are rich in oil, possibly containing various unsaturated fatty acids and vitamin E, beneficial for both edible and medicinal purposes."
Olea yunnanensis,Plantae,Angiosperms,Magnoliopsida,Gentianales,Oleaceae,Olea,Olea yunnanensis,"The seed oil is rich in unsaturated fatty acids and antioxidants beneficial to human health, suitable for edible and industrial uses."
Tiger hazelnut,Plantae,Angiosperms,Magnoliopsida,Fagales,Betulaceae (or possibly Fagaceae depending on the classification system),Ostrya,Ostrya japonica,"The bark and leaves contain tannins, which can be extracted for tannin; the seeds contain oil, used for edible purposes and soap making; other parts such as branches also have various uses."
Passiflora,Plantae,Angiosperms,Magnoliopsida,Parietales,Passifloraceae,Passiflora,"(This genus includes multiple species, specific species names are not provided)",
Rosa davurica var. glabra,Plantae,Angiosperms,Magnoliopsida,Rosales,Rosaceae,Rosa (Rosa davurica is a variety or subspecies),Rosa davurica var. glabra (variety or subspecies name),
Castor bean,Plantae,Angiosperms,Magnoliopsida,Malpighiales,Euphorbiaceae,Ricinus,Ricinus communis,
Perilla,Plantae,Angiosperms,Magnoliopsida,Lamiales,Lamiaceae (some classification systems place it in the Perilla family),"Perilla (or Perilla, depending on the specific classification system)",Perilla frutescens,
Cyperus esculentus,Plantae,Angiosperms,Magnoliopsida,Cyperales,Cyperaceae,Cyperus (but Cyperus esculentus may be a specific species or variety),Cyperus esculentus,"Tubers are rich in starch, sugar, and oil, edible or used for industrial processing; also has certain medicinal value, such as clearing heat and detoxifying, strengthening the spleen and stimulating appetite."
Cotton,Plantae,Angiosperms,Magnoliopsida,Malvales,Malvaceae,Gossypium,"Cotton (usually refers to cultivated species, such as upland cotton, sea island cotton, etc.)","The main economic value lies in its fiber, widely used in the textile industry; cottonseed can be pressed for oil, cottonseed cake can be used as feed; certain parts of the cotton plant also have medicinal value."
Flax,Plantae,Angiosperms,Magnoliopsida,Geraniales,"Linaceae (or Camelina family, but traditionally classified as Linaceae)",Linum,Flax,"Seeds are rich in unsaturated fatty acids such as linolenic acid, an important oil crop; fibers can be used in textiles, with excellent moisture absorption and breathability; the whole plant and roots have medicinal value, such as calming the liver and extinguishing wind, tranquilizing and calming the mind."
Hemp,Plantae,Angiosperms,Magnoliopsida,Urticales,Cannabaceae,Cannabis,Hemp,"Seeds and stems are rich in fiber, used in textiles, papermaking, and other industries; hemp also has certain medicinal value, such as dispelling wind and dampness, promoting blood circulation and relieving pain; but note that some varieties of hemp contain hallucinogenic components and need to be strictly controlled."
Tomato,Plantae,Angiosperms,Magnoliopsida,Solanales,Solanaceae,Solanum,Tomato,"Rich in vitamin C, vitamin K, potassium, folate, and the antioxidant lycopene."
Spinach,Plantae,Angiosperms,Magnoliopsida,Caryophyllales,Amaranthaceae,Spinacia,Spinach,"Contains a large amount of vitamin K, vitamin A, iron, calcium, and folic acid."
Lettuce,Plantae,Angiosperms,Magnoliopsida,Asterales,Asteraceae,Lactuca,Lettuce,"Rich in fiber, vitamin A, vitamin C, and potassium."
Cucumber,Plantae,Angiosperms,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucumis,Cucumber,"Contains a large amount of water, vitamin K, vitamin C, and potassium."
Green pepper,Plantae,Angiosperms,Magnoliopsida,Solanales,Solanaceae,Capsicum,Green pepper,"Rich in vitamin C, vitamin A, potassium, and fiber."
Onion,Plantae,Angiosperms,Monocotyledon,Asparagales,Alliaceae,Allium,Onion,"Rich in antioxidants, vitamin C, vitamin B6, manganese, and potassium."
Eggplant,Plantae,Angiosperms,Magnoliopsida,Solanales,Solanaceae,Solanum,Eggplant,"Rich in fiber, B vitamins, potassium, and antioxidants."
Radish,Plantae,Angiosperms,Magnoliopsida,Brassicales,Brassicaceae,Raphanus,Radish,"Contains vitamin C, calcium, potassium, and fiber."
Green beans,Plantae,Angiosperms,Magnoliopsida,Fabales,Fabaceae,Vigna,Green beans,"Rich in fiber, protein, B vitamins, and minerals."
Lettuce,Plantae,Angiosperms,Magnoliopsida,Asterales,Asteraceae,Lactuca,Lettuce,"Contains abundant fiber, vitamin A, vitamin C, and potassium."
Taro,Plantae,Angiosperms,Monocotyledon,Alismatales,Araceae,Colocasia,Taro,"Rich in carbohydrates, fiber, vitamin C, potassium, and magnesium."
Green Beans,Plantae,Angiosperms,Magnoliopsida,Fabales,Fabaceae,Phaseolus,Green Beans,"Rich in fiber, protein, vitamin C, and iron."
Scallion,Plantae,Angiosperms,Monocotyledon,Asparagales,Alliaceae,Allium,Scallion,"Rich in vitamin C, vitamin B6, selenium, and zinc."
Bamboo Shoots,Plantae,Angiosperms,Monocotyledon,Poales,Poaceae,Bambusoideae,Bamboo Shoots,"Rich in fiber, protein, B vitamins, potassium, and calcium."
Purple Cabbage,Plantae,Angiosperms,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Cabbage,"Rich in vitamin C, vitamin K, fiber, and antioxidants."
Cauliflower,Plantae,Angiosperms,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Cauliflower,"Rich in vitamin C, vitamin K, fiber, and folate."
Beet,Plantae,Angiosperms,Magnoliopsida,Caryophyllales,Amaranthaceae,Beta,Beet,"Rich in fiber, folate, vitamin C, and magnesium."
Zucchini,Plantae,Angiosperms,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucurbita,Zucchini,"Rich in fiber, vitamin C, potassium, and manganese."
Green beans,Plantae,Angiosperms,Magnoliopsida,Fabales,Fabaceae,Phaseolus,Green beans,"Rich in protein, fiber, B vitamins, and iron."
Sweet potato,Plantae,Angiosperms,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Sweet potato,"Rich in carbohydrates, fiber, vitamin A, vitamin C, and potassium."
Okra,Plantae,Angiosperms,Magnoliopsida,Malvales,Malvaceae,Abelmoschus,Okra,"Rich in fiber, vitamin C, vitamin A, and potassium."
Asparagus,Plantae,Angiosperms,Monocotyledon,Asparagales,Asparagaceae,Asparagus,Asparagus,"Rich in fiber, vitamin K, vitamin A, and folic acid."
Choy Sum,Plantae,Angiosperms,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Choy Sum,"Rich in vitamin C, vitamin A, fiber, and calcium."
Water Spinach,Plantae,Angiosperms,Magnoliopsida,Solanales,Convolvulaceae,Water Spinach,Water Spinach,"Rich in fiber, iron, potassium, and vitamin A."
Garland Chrysanthemum,Plantae,Angiosperms,Magnoliopsida,Asterales,Asteraceae,Garland Chrysanthemum,Garland Chrysanthemum,"Rich in vitamin A, vitamin C, calcium, and fiber."
Aloe Vera,Plantae,Angiosperms,Monocotyledon,Asparagales,Liliaceae,Aloe,Aloe Vera,"Contains vitamin C, vitamin E, calcium, and antioxidants."
You Mai Cai,Plantae,Angiosperms,Magnoliopsida,Asterales,Asteraceae,Lactuca,Lettuce,"Rich in vitamin C, fiber, vitamin A, and calcium."
Green radish,Plantae,Angiosperms,Magnoliopsida,Brassicales,Brassicaceae,Raphanus,Green radish,"Rich in vitamin C, vitamin B group, potassium, and calcium."
Shepherd's purse,Plantae,Angiosperms,Magnoliopsida,Brassicales,Brassicaceae,Capsella,Shepherd's purse,"Rich in fiber, vitamin C, calcium, and iron."
Chives,Plantae,Angiosperms,Monocotyledon,Asparagales,Alliaceae,Allium,Chives,"Rich in vitamin C, vitamin B group, potassium, and fiber."
White radish,Plantae,Angiosperms,Magnoliopsida,Brassicales,Brassicaceae,Raphanus,White radish,"Rich in fiber, vitamin C, potassium, and calcium."
Taro,Plantae,Angiosperms,Monocotyledon,Alismatales,Araceae,Colocasia,Taro,"Rich in fiber, vitamin B group, potassium, and magnesium."
Wood ear vegetable,Plantae,Angiosperms,Magnoliopsida,Asterales,Basellaceae,Basella,Malabar spinach,"Contains vitamin A, vitamin C, calcium, and fiber."
Green garlic,Plantae,Angiosperms,Monocotyledon,Asparagales,Alliaceae,Allium,Green garlic,"Rich in vitamin C, vitamin B6, selenium, and manganese."
Horn pepper,Plantae,Angiosperms,Magnoliopsida,Solanales,Solanaceae,Capsicum,Horn pepper,"Rich in vitamin C, vitamin A, fiber, and antioxidants."
Arrowhead,Plantae,Angiosperms,Monocotyledon,Alismatales,Alismataceae,Sagittaria,Arrowhead,"Contains carbohydrates, fiber, potassium, and vitamin C."
Purslane,Plantae,Angiosperms,Magnoliopsida,Caryophyllales,Portulacaceae,Portulaca,Purslane,"Rich in Omega-3 fatty acids, Vitamin C, Vitamin A, and Magnesium."
Yellow Chives,Plantae,Angiosperms,Monocotyledon,Asparagales,Alliaceae,Allium,Yellow Chives,"Rich in Vitamin A, Vitamin C, Fiber, and Potassium."
Red Chili Pepper,Plantae,Angiosperms,Magnoliopsida,Solanales,Solanaceae,Capsicum,Red Chili Pepper,"Rich in Vitamin C, Vitamin A, Antioxidants, and Potassium."
Red Amaranth,Plantae,Angiosperms,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Red Amaranth,"Rich in Vitamin A, Vitamin C, Iron, and Fiber."
Water Celery,Plantae,Angiosperms,Magnoliopsida,Apiales,Apiaceae,Apium,Water celery,"Rich in fiber, vitamin A, vitamin C, and potassium."
Bitter Chrysanthemum,Plantae,Angiosperms,Magnoliopsida,Asterales,Asteraceae,Cichorium,Bitter Chrysanthemum,"Rich in vitamin A, vitamin C, calcium, and fiber."
Asparagus,Plantae,Angiosperms,Monocotyledon,Alismatales,Alismataceae,Asparagus,Asparagus,"Rich in Fiber, Potassium, Vitamin C, and Calcium."
Tremella fuciformis,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Tremella,Tremella fuciformis,"Rich in polysaccharides, fiber, vitamin D, and iron."
Sweet potato,Plantae,Angiosperms,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Sweet potato,"Contains carbohydrates, fiber, vitamin A, and potassium."
